date,cases,deaths,recovered,region
1/22/20,557,17,30,Global
1/23/20,657,18,32,Global
1/24/20,944,26,39,Global
1/25/20,1437,42,42,Global
1/26/20,2120,56,56,Global
1/27/20,2929,82,65,Global
1/28/20,5580,131,108,Global
1/29/20,6169,133,127,Global
1/30/20,8237,172,145,Global
1/31/20,9927,214,225,Global
2/1/20,12038,260,287,Global
2/2/20,16787,364,476,Global
2/3/20,19887,428,627,Global
2/4/20,23899,494,857,Global
2/5/20,27644,566,1130,Global
2/6/20,30806,636,1493,Global
2/7/20,34400,721,2016,Global
2/8/20,37131,808,2617,Global
2/9/20,40162,908,3247,Global
2/10/20,42771,1015,3949,Global
2/11/20,44814,1115,4684,Global
2/12/20,45232,1120,5151,Global
2/13/20,60384,1373,6294,Global
2/14/20,66912,1525,8061,Global
2/15/20,69055,1668,9397,Global
2/16/20,71238,1772,10867,Global
2/17/20,73273,1870,12587,Global
2/18/20,75155,2010,14352,Global
2/19/20,75655,2125,16123,Global
2/20/20,76216,2250,18181,Global
2/21/20,76846,2254,18894,Global
2/22/20,78608,2462,22892,Global
2/23/20,78990,2473,23397,Global
2/24/20,79558,2633,25229,Global
2/25/20,80412,2713,27907,Global
2/26/20,81384,2774,30388,Global
2/27/20,82728,2817,33282,Global
2/28/20,84152,2876,36714,Global
2/29/20,86023,2946,39785,Global
3/1/20,88402,3000,42721,Global
3/2/20,90382,3090,45605,Global
3/3/20,92994,3164,48227,Global
3/4/20,95338,3260,51170,Global
3/5/20,98078,3355,53796,Global
3/6/20,102062,3469,55864,Global
3/7/20,106199,3573,58358,Global
3/8/20,109997,3815,60695,Global
3/9/20,114292,4009,62495,Global
3/10/20,119051,4284,64402,Global
3/11/20,126527,4636,66999,Global
3/12/20,133283,4957,68328,Global
3/13/20,146477,5460,70255,Global
3/14/20,157365,5886,72622,Global
3/15/20,168598,6557,76031,Global
3/16/20,183165,7268,78086,Global
3/17/20,198339,8119,80830,Global
3/18/20,215900,9075,83317,Global
3/19/20,242987,10217,84958,Global
3/20/20,272517,11791,87403,Global
3/21/20,304944,13599,91650,Global
3/22/20,339156,15427,97867,Global
3/23/20,381711,17523,98355,Global
3/24/20,423594,19949,107974,Global
3/25/20,475075,22920,113753,Global
3/26/20,535889,26173,122125,Global
3/27/20,599820,29812,130910,Global
3/28/20,669402,33861,139421,Global
3/29/20,725918,37680,148877,Global
3/30/20,790929,42050,164213,Global
3/31/20,869371,47218,177803,Global
4/1/20,955728,53862,193075,Global
4/2/20,1038176,60115,210218,Global
4/3/20,1122386,66617,225640,Global
4/4/20,1182507,72976,246052,Global
4/5/20,1254222,78897,259888,Global
4/6/20,1328948,85324,276597,Global
4/7/20,1397886,93841,299859,Global
4/8/20,1480062,101061,328741,Global
4/9/20,1567243,109216,353995,Global
4/10/20,1653665,116957,375733,Global
4/11/20,1729180,123939,401983,Global
4/12/20,1847761,130453,421366,Global
4/13/20,1919593,136966,448623,Global
4/14/20,2004226,144323,473697,Global
4/15/20,2082482,153088,510236,Global
4/16/20,2176950,160800,541119,Global
4/17/20,2264830,169688,567303,Global
4/18/20,2343082,176118,591169,Global
4/19/20,2419404,182219,622952,Global
4/20/20,2495886,188730,645130,Global
4/21/20,2571973,195926,679932,Global
4/22/20,2654011,203205,710017,Global
4/23/20,2736728,210475,738747,Global
4/24/20,2820291,217313,788776,Global
4/25/20,2903496,223363,816531,Global
4/26/20,2974291,228179,845343,Global
4/27/20,3045275,233624,873227,Global
4/28/20,3121107,240253,906439,Global
4/29/20,3198435,247233,948516,Global
4/30/20,3282087,253486,1013632,Global
5/1/20,3371033,259073,1051789,Global
5/2/20,3449295,265119,1092440,Global
5/3/20,3523292,269394,1124973,Global
5/4/20,3600929,274239,1159059,Global
5/5/20,3680614,280386,1195532,Global
5/6/20,3771036,287146,1241651,Global
5/7/20,3860174,293012,1281176,Global
5/8/20,3950657,298967,1317589,Global
5/9/20,4035000,303885,1371030,Global
5/10/20,4110223,308223,1404839,Global
5/11/20,4186364,312301,1451724,Global
5/12/20,4271644,318031,1488766,Global
5/13/20,4355992,323468,1544638,Global
5/14/20,4451634,329217,1584349,Global
5/15/20,4547536,334970,1632452,Global
5/16/20,4641426,339511,1688863,Global
5/17/20,4719789,343391,1729871,Global
5/18/20,4808921,347786,1782787,Global
5/19/20,4904739,352754,1834839,Global
5/20/20,5010162,358160,1893809,Global
5/21/20,5116135,363195,1945029,Global
5/22/20,5223477,368901,2053576,Global
5/23/20,5327627,373355,2108410,Global
5/24/20,5420843,376755,2163937,Global
5/25/20,5509066,378449,2227666,Global
5/26/20,5601428,383229,2282818,Global
5/27/20,5703984,388449,2346145,Global
5/28/20,5823977,393440,2413008,Global
5/29/20,5945413,398596,2490273,Global
5/30/20,6080456,402955,2560723,Global
5/31/20,6183316,406242,2637107,Global
6/1/20,6283580,409983,2692032,Global
6/2/20,6406221,415254,2796144,Global
6/3/20,6517437,420875,2875235,Global
6/4/20,6655667,426403,2945305,Global
6/5/20,6789073,431460,3014470,Global
6/6/20,6918403,435600,3086674,Global
6/7/20,7029415,438857,3141783,Global
6/8/20,7132463,443312,3293394,Global
6/9/20,7258445,448357,3375664,Global
6/10/20,7395607,453783,3454835,Global
6/11/20,7531793,458920,3540714,Global
6/12/20,7659267,463663,3620434,Global
6/13/20,7793175,468056,3706326,Global
6/14/20,7925122,471838,3777145,Global
6/15/20,8050034,475905,3857420,Global
6/16/20,8193933,483023,3955283,Global
6/17/20,8337135,488500,4074114,Global
6/18/20,8480229,493854,4155277,Global
6/19/20,8661225,500212,4250267,Global
6/20/20,8847108,504694,4366121,Global
6/21/20,8940170,509338,4434807,Global
6/22/20,9082502,513205,4526440,Global
6/23/20,9250625,518774,4630495,Global
6/24/20,9422061,524272,4746246,Global
6/25/20,9601576,529382,4839130,Global
6/26/20,9794066,534465,4945110,Global
6/27/20,9970478,539201,5051396,Global
6/28/20,10138935,542822,5140599,Global
6/29/20,10291617,546894,5235170,Global
6/30/20,10475388,552146,5352510,Global
7/1/20,10690516,557487,5468424,Global
7/2/20,10895486,563001,5753358,Global
7/3/20,11098124,568241,5863246,Global
7/4/20,11287838,573035,6059006,Global
7/5/20,11474058,576880,6178369,Global
7/6/20,11642331,581148,6302068,Global
7/7/20,11851900,587508,6447101,Global
7/8/20,12067186,593137,6605157,Global
7/9/20,12291782,598986,6739775,Global
7/10/20,12524663,604728,6879221,Global
7/11/20,12737483,609869,7004913,Global
7/12/20,12930415,614171,7116749,Global
7/13/20,13124893,618607,7257072,Global
7/14/20,13345920,624592,7399324,Global
7/15/20,13575706,630511,7559130,Global
7/16/20,13820618,636673,7711615,Global
7/17/20,14058038,643711,7895036,Global
7/18/20,14293379,650241,8045823,Global
7/19/20,14505270,655135,8133881,Global
7/20/20,14713414,659101,8293009,Global
7/21/20,14956435,665439,8467705,Global
7/22/20,15231791,672857,8647437,Global
7/23/20,15511422,679494,8823667,Global
7/24/20,15794928,685956,9051967,Global
7/25/20,16044485,692021,9271779,Global
7/26/20,16256294,696430,9415080,Global
7/27/20,16490680,701726,9586463,Global
7/28/20,16754567,708664,9756921,Global
7/29/20,17024801,715292,9959507,Global
7/30/20,17306582,722069,10173026,Global
7/31/20,17594044,728679,10372632,Global
8/1/20,17840315,734665,10553543,Global
8/2/20,18070926,739352,10692267,Global
8/3/20,18276983,744209,10914712,Global
8/4/20,18542287,751380,11138369,Global
8/5/20,18817443,758757,11360064,Global
8/6/20,19104145,765604,11548871,Global
8/7/20,19386579,772357,11740917,Global
